id,Geographic Area ame,Estimate_Households_Mean_income
8600000US02125,ZCTA5 02125,80020
8600000US02126,ZCTA5 02126,70403
8600000US02127,ZCTA5 02127,121844
8600000US02128,ZCTA5 02128,75181
8600000US02129,ZCTA5 02129,151533
8600000US02130,ZCTA5 02130,114098
8600000US02131,ZCTA5 02131,95371
8600000US02132,ZCTA5 02132,118858
8600000US02134,ZCTA5 02134,76198
8600000US02135,ZCTA5 02135,89087
8600000US02136,ZCTA5 02136,82184
8600000US02138,ZCTA5 02138,145375
8600000US02139,ZCTA5 02139,124391
8600000US02140,ZCTA5 02140,130776
8600000US02141,ZCTA5 02141,102235
8600000US02142,ZCTA5 02142,174675
8600000US02143,ZCTA5 02143,111665
8600000US02144,ZCTA5 02144,127149
8600000US02145,ZCTA5 02145,92961
8600000US02148,ZCTA5 02148,79505
8600000US02149,ZCTA5 02149,73710
8600000US02150,ZCTA5 02150,68129
8600000US02151,ZCTA5 02151,72851
8600000US02152,ZCTA5 02152,94159
8600000US02155,ZCTA5 02155,114537
8600000US02163,ZCTA5 02163,66078
8600000US02169,ZCTA5 02169,86202
8600000US02170,ZCTA5 02170,96618
8600000US02171,ZCTA5 02171,103837
8600000US02176,ZCTA5 02176,129158
8600000US02180,ZCTA5 02180,113371
8600000US02184,ZCTA5 02184,114389
8600000US02186,ZCTA5 02186,167091
8600000US02188,ZCTA5 02188,96967
8600000US02189,ZCTA5 02189,91332
8600000US02190,ZCTA5 02190,104703
8600000US02191,ZCTA5 02191,91481
8600000US02199,ZCTA5 02199,156516
8600000US02203,ZCTA5 02203,
8600000US02210,ZCTA5 02210,211554
8600000US02215,ZCTA5 02215,79421
8600000US02301,ZCTA5 02301,67853
8600000US02302,ZCTA5 02302,81391
8600000US02322,ZCTA5 02322,88267
8600000US02324,ZCTA5 02324,107501
8600000US02330,ZCTA5 02330,86012
8600000US02332,ZCTA5 02332,166347
8600000US02333,ZCTA5 02333,98342
8600000US02338,ZCTA5 02338,101148
8600000US02339,ZCTA5 02339,148543
8600000US02341,ZCTA5 02341,110414
8600000US02343,ZCTA5 02343,85936
8600000US02346,ZCTA5 02346,99760
8600000US02347,ZCTA5 02347,124142
8600000US02351,ZCTA5 02351,99500
8600000US02356,ZCTA5 02356,147051
8600000US02357,ZCTA5 02357,
8600000US02359,ZCTA5 02359,119193
8600000US02360,ZCTA5 02360,109754
8600000US02364,ZCTA5 02364,110081
8600000US02366,ZCTA5 02366,
8600000US02367,ZCTA5 02367,115438
8600000US02368,ZCTA5 02368,91452
8600000US02370,ZCTA5 02370,94876
8600000US02375,ZCTA5 02375,120752
8600000US02379,ZCTA5 02379,101838
8600000US02382,ZCTA5 02382,96121
8600000US02420,ZCTA5 02420,227388
8600000US02421,ZCTA5 02421,212325
8600000US02445,ZCTA5 02445,180091
8600000US02446,ZCTA5 02446,139460
8600000US02451,ZCTA5 02451,114432
8600000US02452,ZCTA5 02452,107720
8600000US02453,ZCTA5 02453,97040
8600000US02457,ZCTA5 02457,
8600000US02458,ZCTA5 02458,169650
8600000US02459,ZCTA5 02459,245496
8600000US02460,ZCTA5 02460,169590
8600000US02461,ZCTA5 02461,196122
8600000US02462,ZCTA5 02462,168181
8600000US02464,ZCTA5 02464,129700
8600000US02465,ZCTA5 02465,202754
8600000US02466,ZCTA5 02466,144684
8600000US02467,ZCTA5 02467,187628
8600000US02468,ZCTA5 02468,287274
8600000US02472,ZCTA5 02472,119817
8600000US02474,ZCTA5 02474,137450
8600000US02476,ZCTA5 02476,139668
8600000US02478,ZCTA5 02478,164658
8600000US02481,ZCTA5 02481,313290
8600000US02482,ZCTA5 02482,233605
8600000US02492,ZCTA5 02492,223614
8600000US02493,ZCTA5 02493,272757
8600000US02494,ZCTA5 02494,187225
8600000US02532,ZCTA5 02532,90300
8600000US02534,ZCTA5 02534,106218
8600000US02535,ZCTA5 02535,164965
8600000US02536,ZCTA5 02536,89133
8600000US02537,ZCTA5 02537,129891
8600000US02538,ZCTA5 02538,72146
8600000US02539,ZCTA5 02539,123710
8600000US02540,ZCTA5 02540,102735
8600000US02542,ZCTA5 02542,64787
8600000US02543,ZCTA5 02543,197060
8600000US02553,ZCTA5 02553,74720
8600000US02554,ZCTA5 02554,138967
8600000US02556,ZCTA5 02556,135692
8600000US02557,ZCTA5 02557,91222
8600000US02558,ZCTA5 02558,52200
8600000US02559,ZCTA5 02559,85211
8600000US02561,ZCTA5 02561,105893
8600000US02562,ZCTA5 02562,114355
8600000US02563,ZCTA5 02563,111567
8600000US02564,ZCTA5 02564,91714
8600000US02568,ZCTA5 02568,91641
8600000US02571,ZCTA5 02571,71875
8600000US02575,ZCTA5 02575,111452
8600000US02576,ZCTA5 02576,100830
8600000US02584,ZCTA5 02584,
8600000US02601,ZCTA5 02601,63043
8600000US02630,ZCTA5 02630,163428
8600000US02631,ZCTA5 02631,101427
8600000US02632,ZCTA5 02632,94948
8600000US02633,ZCTA5 02633,140229
8600000US02635,ZCTA5 02635,99732
8600000US02637,ZCTA5 02637,179329
8600000US02638,ZCTA5 02638,100176
8600000US02639,ZCTA5 02639,72162
8600000US02641,ZCTA5 02641,145446
8600000US02642,ZCTA5 02642,89528
8600000US02643,ZCTA5 02643,
8600000US02644,ZCTA5 02644,107791
8600000US02645,ZCTA5 02645,99536
8600000US02646,ZCTA5 02646,83059
8600000US02647,ZCTA5 02647,68339
8600000US02648,ZCTA5 02648,95098
8600000US02649,ZCTA5 02649,88942
8600000US02650,ZCTA5 02650,87589
8600000US02651,ZCTA5 02651,
8600000US02652,ZCTA5 02652,72067
8600000US02653,ZCTA5 02653,95412
8600000US02655,ZCTA5 02655,135028
8600000US02657,ZCTA5 02657,79641
8600000US02659,ZCTA5 02659,118124
8600000US02660,ZCTA5 02660,80711
8600000US02663,ZCTA5 02663,82266
8600000US02664,ZCTA5 02664,77818
8600000US02666,ZCTA5 02666,66907
8600000US02667,ZCTA5 02667,83075
8600000US02668,ZCTA5 02668,121790
8600000US02669,ZCTA5 02669,151995
8600000US02670,ZCTA5 02670,99879
8600000US02671,ZCTA5 02671,78875
8600000US02672,ZCTA5 02672,126458
8600000US02673,ZCTA5 02673,75562
