ZTCA,Median_Household_Income,Mean_Household_Income
72152,19566,37306
72153,41140,59544
72156,-,55669
72157,49740,63815
72160,47063,63331
72165,-,18442
72166,-,63058
72167,48185,61471
72168,-,39406
72169,27188,48356
72170,34375,49413
72173,57019,69638
72175,32500,40442
72176,57271,69591
72179,40223,43650
72181,-,-
72201,61310,126574
72202,40913,65709
72204,37891,46433
72205,49690,72484
72206,37310,54941
72207,77636,122420
72209,37216,44661
72210,54989,76874
72211,64168,91212
72212,103255,144688
72223,96692,155029
72227,73500,106128
72301,33159,48984
72311,24545,41524
72315,41674,56096
72320,-,N
72321,53438,53705
72322,20833,24660
72324,50386,53708
72325,39306,62023
72326,41771,52114
72327,35875,61766
72328,-,N
72329,-,N
72330,42431,58367
72331,35559,41817
72332,15179,18222
72333,28438,39873
72335,35147,48393
72338,-,N
72339,-,40193
72340,-,95639
72341,35500,42689
72342,24659,46573
72346,24063,44393
72347,41406,53378
72348,34327,44680
72350,30150,49527
72351,30357,40072
72353,-,N
72354,36942,61650
72355,50208,62321
72358,23224,37396
72359,33478,32000
